City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,30.63,80,97,4.45,US,1706574708
1,st. john's,47.5649,-52.7093,25.97,94,100,33.38,CA,1706574463
2,santa luzia,-19.7697,-43.8514,79.7,80,0,3.44,BR,1706574708
3,ancud,-41.8697,-73.8203,56.53,75,100,2.06,CL,1706574708
4,port-aux-francais,-49.35,70.2167,38.95,71,99,37.47,TF,1706574708
5,bredasdorp,-34.5322,20.0403,68.58,71,93,8.1,ZA,1706574709
6,papatowai,-46.5619,169.4708,65.28,70,99,12.59,NZ,1706574709
7,aasiaat,68.7098,-52.8699,-15.14,96,100,4.7,GL,1706574709
8,hammerfest,70.6634,23.6821,34.25,69,40,39.12,NO,1706574709
9,waitangi,-43.9535,-176.5597,62.26,95,94,13.38,NZ,1706574709
10,iskateley,67.6803,53.1512,23.02,91,100,25.99,RU,1706574709
11,prince rupert,54.3161,-130.3201,50.09,81,100,21.85,CA,1706574710
12,ilulissat,69.2167,-51.1,-7.58,64,75,16.11,GL,1706574710
13,lebu,-37.6167,-73.65,56.66,84,29,9.64,CL,1706574694
14,stanley,54.868,-1.6985,41.72,93,100,16.37,GB,1706574710
15,isafjordur,66.0755,-23.124,25.18,83,100,10.31,IS,1706574710
16,vila franca do campo,37.7167,-25.4333,64.89,99,24,15.37,PT,1706574710
17,port alfred,-33.5906,26.891,70.18,95,100,8.99,ZA,1706574711
18,rengo,-34.4167,-70.8667,82.72,44,1,3.71,CL,1706574562
19,robertsport,6.7533,-11.3686,81.23,84,5,8.5,LR,1706574711
20,wailua homesteads,22.0669,-159.378,81.39,62,0,21.85,US,1706574711
21,sydney,-33.8679,151.2073,79.77,84,75,21.85,AU,1706574517
22,mount isa,-20.7333,139.5,87.57,62,100,10.36,AU,1706574712
23,kidal,18.4411,1.4078,63.82,18,0,12.93,ML,1706574712
24,dayr hafir,36.1569,37.7078,42.12,83,100,18.79,SY,1706574712
25,edinburgh of the seven seas,-37.0676,-12.3116,59.9,68,91,21.39,SH,1706574712
26,adamstown,-25.066,-130.1015,76.53,77,100,11.41,PN,1706574712
27,tazovsky,67.4667,78.7,-11.24,97,60,11.14,RU,1706574712
28,la passe,45.5549,-0.8967,53.83,90,100,9.71,FR,1706574713
29,carnarvon,-24.8667,113.6333,78.87,63,0,16.08,AU,1706574713
30,west island,-12.1568,96.8225,75.18,94,0,0.0,CC,1706574713
31,shingu,33.7333,135.9833,51.21,43,10,1.48,JP,1706574713
32,keflavik,64.0049,-22.5624,30.63,86,75,29.93,IS,1706574713
33,badger,64.8,-147.5333,-9.87,74,100,0.0,US,1706574713
34,ta`u,-14.2336,-169.5144,84.15,77,72,8.43,AS,1706574714
35,morong,14.5115,121.2393,80.62,64,4,13.76,PH,1706574714
36,saipan,15.1355,145.701,81.3,65,20,17.27,MP,1706574714
37,tralee,52.2704,-9.7026,38.71,80,46,0.98,IE,1706574714
38,blackmans bay,-43.0167,147.3167,70.74,39,0,1.99,AU,1706574714
39,puerto ayora,-0.7393,-90.3518,77.67,87,98,9.15,EC,1706574714
40,udachny,66.4167,112.4,-14.78,100,99,2.21,RU,1706574715
41,margaret river,-33.95,115.0667,61.61,64,4,8.86,AU,1706574558
42,hawaiian paradise park,19.5933,-154.9731,86.9,69,20,14.97,US,1706574715
43,fale old settlement,-9.3852,-171.2468,85.35,70,73,6.15,TK,1706574715
44,kalemie,-5.9475,29.1947,70.34,89,100,1.57,CD,1706574715
45,priob'ye,62.5206,65.5964,-9.98,100,100,8.41,RU,1706574715
46,bam,29.106,58.357,50.16,33,100,2.93,IR,1706574716
47,scottburgh,-30.2867,30.7532,72.5,91,6,14.14,ZA,1706574716
48,nemuro,43.3236,145.575,32.38,78,12,5.91,JP,1706574716
49,axim,4.8699,-2.2405,79.25,84,11,6.08,GH,1706574716
50,petropavlovsk-kamchatsky,53.0452,158.6483,3.79,78,0,6.71,RU,1706574639
51,constantia,44.1833,28.65,34.7,84,100,18.72,RO,1706574431
52,alofi,-19.0595,-169.9187,85.89,79,98,8.1,NU,1706574717
53,longyearbyen,78.2186,15.6401,26.44,86,75,11.5,SJ,1706574717
54,talnakh,69.4865,88.3972,1.2,87,100,8.32,RU,1706574717
55,khandyga,62.6667,135.6,-47.76,98,73,1.95,RU,1706574717
56,castillos,-34.1667,-53.8333,65.44,83,0,5.23,UY,1706574717
57,tiksi,71.6872,128.8694,-16.71,98,88,6.15,RU,1706574717
58,puerto natales,-51.7236,-72.4875,50.41,95,100,2.82,CL,1706574476
59,par,50.3539,-4.7109,47.48,87,100,15.32,GB,1706574718
60,ilinge,-31.9768,27.0427,69.42,52,5,6.06,ZA,1706574718
61,kavieng,-2.5744,150.7967,83.17,77,90,10.11,PG,1706574718
62,hermanus,-34.4187,19.2345,64.8,82,100,4.94,ZA,1706574718
63,olonkinbyen,70.9221,-8.7187,22.55,62,100,18.43,SJ,1706574718
64,pointe-noire,-4.7761,11.8635,78.87,100,20,2.3,CG,1706574718
65,chos malal,-37.3781,-70.2709,73.71,20,76,5.57,AR,1706574719
66,luderitz,-26.6481,15.1594,64.31,66,5,8.12,NA,1706574719
67,pocito,-31.6833,-68.5833,90.59,27,21,9.78,AR,1706574719
68,hirara,24.8,125.2833,71.46,68,40,14.97,JP,1706574719
